Domain;IP;Comments;Sources
r3-test.vk.ru;87.240.132.72;;
r3-test.vk.ru;87.240.137.164;;
r3-test.vk.ru;87.240.132.67;;
r3-test.vk.ru;93.186.225.194;;
r3-test.vk.ru;87.240.132.78;;
r3-test.vk.ru;87.240.129.133;;
music.vk.ru;5.61.236.125;;
st1-17.vk.ru;95.142.204.180;;
st2-22.vk.ru;185.32.249.53;;
capsula.vk.ru;185.5.139.24;;
target.vk.ru;5.61.236.131;;
st7-21.vk.ru;185.32.251.52;;
st1-97.vk.ru;95.142.204.153;;
business.vk.ru;87.240.190.92;;
st1-92.vk.ru;95.142.204.186;;
ord.vk.ru;95.163.48.17;;
st5-8.vk.ru;95.142.202.71;;
st1-88.vk.ru;95.142.204.163;;
st1-26.vk.ru;95.142.204.172;;
st1-57.vk.ru;95.142.204.179;;
st7-18.vk.ru;185.32.251.49;;
mail02.vk.ru;87.240.129.133;;
mail02.vk.ru;93.186.225.194;;
mail02.vk.ru;87.240.137.164;;
mail02.vk.ru;87.240.132.78;;
mail02.vk.ru;87.240.132.72;;
mail02.vk.ru;87.240.132.67;;
alexeypp.vk.ru;87.240.132.72;;
alexeypp.vk.ru;87.240.132.78;;
alexeypp.vk.ru;87.240.137.164;;
alexeypp.vk.ru;87.240.129.133;;
alexeypp.vk.ru;93.186.225.194;;
alexeypp.vk.ru;87.240.132.67;;
mincifry-cert.vk.ru;93.186.225.194;;
mincifry-cert.vk.ru;87.240.132.72;;
mincifry-cert.vk.ru;87.240.132.78;;
mincifry-cert.vk.ru;87.240.137.164;;
mincifry-cert.vk.ru;87.240.129.133;;
mincifry-cert.vk.ru;87.240.132.67;;
st1-24.vk.ru;95.142.204.156;;
expert.vk.ru;87.240.190.92;;
gw.vk.ru;87.240.129.133;;
gw.vk.ru;87.240.137.164;;
gw.vk.ru;87.240.132.78;;
gw.vk.ru;87.240.132.67;;
gw.vk.ru;93.186.225.194;;
gw.vk.ru;87.240.132.72;;
st1-99.vk.ru;95.142.204.155;;
st1-96.vk.ru;95.142.204.152;;
st4-21.vk.ru;95.142.203.52;;
st7-22.vk.ru;185.32.251.53;;
st1-15.vk.ru;95.142.204.174;;
st1-93.vk.ru;95.142.204.187;;
st1-56.vk.ru;95.142.204.178;;
ftp.vk.ru;87.240.129.133;;
ftp.vk.ru;93.186.225.194;;
ftp.vk.ru;87.240.132.67;;
ftp.vk.ru;87.240.137.164;;
ftp.vk.ru;87.240.132.72;;
ftp.vk.ru;87.240.132.78;;
imap.vk.ru;87.240.169.121;;
vu.vk.ru;87.240.190.85;;
vu.vk.ru;87.240.129.188;;
vu.vk.ru;87.240.129.180;;
vu.vk.ru;87.240.137.139;;
vu.vk.ru;87.240.190.74;;
0.vk.ru;87.240.137.164;;
0.vk.ru;87.240.132.67;;
0.vk.ru;87.240.129.133;;
0.vk.ru;93.186.225.194;;
0.vk.ru;87.240.132.72;;
0.vk.ru;87.240.132.78;;
st3-24.vk.ru;95.142.201.55;;
st3-13.vk.ru;95.142.201.44;;
st1-19.vk.ru;95.142.204.182;;
st7-24.vk.ru;185.32.251.55;;
st1-30.vk.ru;95.142.204.167;;
st3-21.vk.ru;95.142.201.52;;
st2-19.vk.ru;185.32.249.50;;
st4-18.vk.ru;95.142.203.49;;
st7-23.vk.ru;185.32.251.54;;
teka.vk.ru;87.240.129.133;;
teka.vk.ru;87.240.132.67;;
teka.vk.ru;93.186.225.194;;
teka.vk.ru;87.240.132.78;;
teka.vk.ru;87.240.137.164;;
teka.vk.ru;87.240.132.72;;
ag.vk.ru;87.240.132.78;;
ag.vk.ru;93.186.225.194;;
ag.vk.ru;87.240.132.67;;
ag.vk.ru;87.240.132.72;;
ag.vk.ru;87.240.129.133;;
ag.vk.ru;87.240.137.164;;
st1-28.vk.ru;95.142.204.165;;
st1-91.vk.ru;95.142.204.185;;
shop.vk.ru;87.240.132.78;;
shop.vk.ru;87.240.129.133;;
shop.vk.ru;93.186.225.194;;
shop.vk.ru;87.240.137.164;;
shop.vk.ru;87.240.132.67;;
shop.vk.ru;87.240.132.72;;
st5-2.vk.ru;95.142.202.65;;
st4-4.vk.ru;95.142.203.35;;
st1-23.vk.ru;95.142.204.157;;
st1-87.vk.ru;95.142.204.162;;
smtp3.vk.ru;87.240.132.72;;
smtp3.vk.ru;87.240.129.133;;
smtp3.vk.ru;93.186.225.194;;
smtp3.vk.ru;87.240.132.67;;
smtp3.vk.ru;87.240.137.164;;
smtp3.vk.ru;87.240.132.78;;
muuttolintujasyksylla.vk.ru;87.240.132.78;;
muuttolintujasyksylla.vk.ru;93.186.225.194;;
muuttolintujasyksylla.vk.ru;87.240.129.133;;
muuttolintujasyksylla.vk.ru;87.240.132.67;;
muuttolintujasyksylla.vk.ru;87.240.137.164;;
muuttolintujasyksylla.vk.ru;87.240.132.72;;
24xentertainment.vk.ru;87.240.132.72;;
24xentertainment.vk.ru;87.240.129.133;;
24xentertainment.vk.ru;87.240.137.164;;
24xentertainment.vk.ru;87.240.132.78;;
24xentertainment.vk.ru;93.186.225.194;;
24xentertainment.vk.ru;87.240.132.67;;
st1-20.vk.ru;95.142.204.183;;
jenna.vk.ru;87.240.137.164;;
jenna.vk.ru;87.240.129.133;;
jenna.vk.ru;93.186.225.194;;
jenna.vk.ru;87.240.132.72;;
jenna.vk.ru;87.240.132.78;;
jenna.vk.ru;87.240.132.67;;
mbi.vk.ru;87.240.137.164;;
mbi.vk.ru;87.240.129.133;;
mbi.vk.ru;93.186.225.194;;
mbi.vk.ru;87.240.132.72;;
mbi.vk.ru;87.240.132.78;;
mbi.vk.ru;87.240.132.67;;
slaine.vk.ru;87.240.137.164;;
slaine.vk.ru;87.240.129.133;;
